"","Study#","Virus strain","number of samples","Virus dose/note","NHP ID","Time point post challenge","sr_group","sr_group_time","sr_group_dose","sr_info","ag_name","Titer","Titer_thresh1","Titer_thresh20"
"74","20-05","Wuhan","n=5","?","7158","D10","Wuhan conv.","Wuhan conv.:D10","Wuhan conv.:?","Wuhan conv._7158_D10_?_20-05","BA.1","*","*","*"
"75","20-05","Wuhan","n=5","?","7158","D10","Wuhan conv.","Wuhan conv.:D10","Wuhan conv.:?","Wuhan conv._7158_D10_?_20-05","BA.2","*","*","*"
"76","20-05","Wuhan","n=5","?","7158","D10","Wuhan conv.","Wuhan conv.:D10","Wuhan conv.:?","Wuhan conv._7158_D10_?_20-05","BA.2.12.1","*","*","*"
"77","20-05","Wuhan","n=5","?","7158","D10","Wuhan conv.","Wuhan conv.:D10","Wuhan conv.:?","Wuhan conv._7158_D10_?_20-05","BA.5","*","*","*"
"78","20-05","Wuhan","n=5","?","7158","D10","Wuhan conv.","Wuhan conv.:D10","Wuhan conv.:?","Wuhan conv._7158_D10_?_20-05","BQ.1.1","*","*","*"
"79","20-05","Wuhan","n=5","?","7158","D10","Wuhan conv.","Wuhan conv.:D10","Wuhan conv.:?","Wuhan conv._7158_D10_?_20-05","CH.1.1","*","*","*"
"80","20-05","Wuhan","n=5","?","7158","D10","Wuhan conv.","Wuhan conv.:D10","Wuhan conv.:?","Wuhan conv._7158_D10_?_20-05","XBB.1","*","*","*"
"81","20-05","Wuhan","n=5","?","7158","D10","Wuhan conv.","Wuhan conv.:D10","Wuhan conv.:?","Wuhan conv._7158_D10_?_20-05","XBB.1.5","*","*","*"
"82","20-05","Wuhan","n=5","?","7158","D10","Wuhan conv.","Wuhan conv.:D10","Wuhan conv.:?","Wuhan conv._7158_D10_?_20-05","XBC.1.6","*","*","*"
"83","20-05","Wuhan","n=5","?","7158","D10","Wuhan conv.","Wuhan conv.:D10","Wuhan conv.:?","Wuhan conv._7158_D10_?_20-05","FL.1.5.1","*","*","*"
"84","20-05","Wuhan","n=5","?","7158","D10","Wuhan conv.","Wuhan conv.:D10","Wuhan conv.:?","Wuhan conv._7158_D10_?_20-05","DV.7.1","*","*","*"
"85","20-05","Wuhan","n=5","?","7158","D10","Wuhan conv.","Wuhan conv.:D10","Wuhan conv.:?","Wuhan conv._7158_D10_?_20-05","HV.1","*","*","*"
"86","20-05","Wuhan","n=5","?","7158","D10","Wuhan conv.","Wuhan conv.:D10","Wuhan conv.:?","Wuhan conv._7158_D10_?_20-05","HK.3","*","*","*"
"87","20-05","Wuhan","n=5","?","7158","D10","Wuhan conv.","Wuhan conv.:D10","Wuhan conv.:?","Wuhan conv._7158_D10_?_20-05","BA.2.86","*","*","*"
"88","20-05","Wuhan","n=5","?","7158","D10","Wuhan conv.","Wuhan conv.:D10","Wuhan conv.:?","Wuhan conv._7158_D10_?_20-05","EG.5.1","*","*","*"
"89","20-05","Wuhan","n=5","?","7158","D10","Wuhan conv.","Wuhan conv.:D10","Wuhan conv.:?","Wuhan conv._7158_D10_?_20-05","JN.1","*","*","*"
"90","20-05","Wuhan","n=5","?","7158","D10","Wuhan conv.","Wuhan conv.:D10","Wuhan conv.:?","Wuhan conv._7158_D10_?_20-05","KP.2","*","*","*"
"91","20-05","Wuhan","n=5","?","7158","D10","Wuhan conv.","Wuhan conv.:D10","Wuhan conv.:?","Wuhan conv._7158_D10_?_20-05","KP.3","*","*","*"
"92","20-05","Wuhan","n=5","?","7158","D10","Wuhan conv.","Wuhan conv.:D10","Wuhan conv.:?","Wuhan conv._7158_D10_?_20-05","KZ.1.1.1","*","*","*"
"93","20-05","Wuhan","n=5","?","7223","D10","Wuhan conv.","Wuhan conv.:D10","Wuhan conv.:?","Wuhan conv._7223_D10_?_20-05","Wuhan","*","*","*"
"94","20-05","Wuhan","n=5","?","7223","D10","Wuhan conv.","Wuhan conv.:D10","Wuhan conv.:?","Wuhan conv._7223_D10_?_20-05","Alpha","*","*","*"
"95","20-05","Wuhan","n=5","?","7223","D10","Wuhan conv.","Wuhan conv.:D10","Wuhan conv.:?","Wuhan conv._7223_D10_?_20-05","Beta","*","*","*"
"96","20-05","Wuhan","n=5","?","7223","D10","Wuhan conv.","Wuhan conv.:D10","Wuhan conv.:?","Wuhan conv._7223_D10_?_20-05","Delta","*","*","*"
"97","20-05","Wuhan","n=5","?","7223","D10","Wuhan conv.","Wuhan conv.:D10","Wuhan conv.:?","Wuhan conv._7223_D10_?_20-05","BA.1","*","*","*"
"98","20-05","Wuhan","n=5","?","7223","D10","Wuhan conv.","Wuhan conv.:D10","Wuhan conv.:?","Wuhan conv._7223_D10_?_20-05","BA.2","*","*","*"
"99","20-05","Wuhan","n=5","?","7223","D10","Wuhan conv.","Wuhan conv.:D10","Wuhan conv.:?","Wuhan conv._7223_D10_?_20-05","BA.2.12.1","*","*","*"
"100","20-05","Wuhan","n=5","?","7223","D10","Wuhan conv.","Wuhan conv.:D10","Wuhan conv.:?","Wuhan conv._7223_D10_?_20-05","BA.5","*","*","*"
"101","20-05","Wuhan","n=5","?","7223","D10","Wuhan conv.","Wuhan conv.:D10","Wuhan conv.:?","Wuhan conv._7223_D10_?_20-05","BQ.1.1","*","*","*"
"102","20-05","Wuhan","n=5","?","7223","D10","Wuhan conv.","Wuhan conv.:D10","Wuhan conv.:?","Wuhan conv._7223_D10_?_20-05","CH.1.1","*","*","*"
"103","20-05","Wuhan","n=5","?","7223","D10","Wuhan conv.","Wuhan conv.:D10","Wuhan conv.:?","Wuhan conv._7223_D10_?_20-05","XBB.1","*","*","*"
"104","20-05","Wuhan","n=5","?","7223","D10","Wuhan conv.","Wuhan conv.:D10","Wuhan conv.:?","Wuhan conv._7223_D10_?_20-05","XBB.1.5","*","*","*"
"105","20-05","Wuhan","n=5","?","7223","D10","Wuhan conv.","Wuhan conv.:D10","Wuhan conv.:?","Wuhan conv._7223_D10_?_20-05","XBC.1.6","*","*","*"
"106","20-05","Wuhan","n=5","?","7223","D10","Wuhan conv.","Wuhan conv.:D10","Wuhan conv.:?","Wuhan conv._7223_D10_?_20-05","FL.1.5.1","*","*","*"
"107","20-05","Wuhan","n=5","?","7223","D10","Wuhan conv.","Wuhan conv.:D10","Wuhan conv.:?","Wuhan conv._7223_D10_?_20-05","DV.7.1","*","*","*"
"108","20-05","Wuhan","n=5","?","7223","D10","Wuhan conv.","Wuhan conv.:D10","Wuhan conv.:?","Wuhan conv._7223_D10_?_20-05","HV.1","*","*","*"
