"","sr_group","ag1","ag2","fc","fc_lower","fc_upper"
"182","Wuhan vax. (two doses)","wuhan","KP.2",-9.05353683057409,-11.9505504667494,-7.66723669562733
"183","Wuhan vax. (two doses)","wuhan","KP.3",-8.60685928439381,-10.3710934000943,-7.41504024885641
"184","Wuhan vax. (two doses)","wuhan","KZ.1.1.1",-9.37299002655027,-11.9243777369638,-7.99120854814314
"185","XBB.1.5 vax. (two doses)","xbb.1.5","Wuhan",-3.40175789750614,-5.09719915307261,-1.77226726706454
"186","XBB.1.5 vax. (two doses)","xbb.1.5","Alpha",-6.90053783083036,-9.25591714839914,-4.68755188168639
"187","XBB.1.5 vax. (two doses)","xbb.1.5","Beta",-7.78339025266724,-10.5657354838351,-5.33696078008732
"188","XBB.1.5 vax. (two doses)","xbb.1.5","Delta",-10.1995713187284,-25.6811949007312,-5.34960782971093
"189","XBB.1.5 vax. (two doses)","xbb.1.5","BA.1",-3.96403879451718,-5.22162670821765,-2.62474109373029
"190","XBB.1.5 vax. (two doses)","xbb.1.5","BA.2",-2.21693348081599,-3.26268647951094,-1.12388379770658
"191","XBB.1.5 vax. (two doses)","xbb.1.5","BA.2.12.1",-2.89998444031209,-4.28536927594588,-1.50091733412876
"192","XBB.1.5 vax. (two doses)","xbb.1.5","BA.5",-3.19713967480407,-4.23590379282603,-2.16110659985688
"193","XBB.1.5 vax. (two doses)","xbb.1.5","BQ.1.1",-4.31759840631765,-5.70347432858477,-2.89405394973139
"194","XBB.1.5 vax. (two doses)","xbb.1.5","CH.1.1",-4.96803752991932,-6.54611862848627,-3.48241476314226
"195","XBB.1.5 vax. (two doses)","xbb.1.5","XBB.1",-2.69294130434822,-3.88346825562085,-1.50655446175747
"196","XBB.1.5 vax. (two doses)","xbb.1.5","XBB.1.5",0,-0.766721730316035,0.715520826681629
"197","XBB.1.5 vax. (two doses)","xbb.1.5","XBC.1.6",-2.03687787856972,-3.35653279151948,-0.723492884099562
"198","XBB.1.5 vax. (two doses)","xbb.1.5","FL.1.5.1",-1.95584507154224,-2.83073123924432,-1.06304566545233
"199","XBB.1.5 vax. (two doses)","xbb.1.5","DV.7.1",-5.42035357040449,-6.73566878913992,-4.14887243638326
"200","XBB.1.5 vax. (two doses)","xbb.1.5","HV.1",-1.84087340666072,-2.86850185604309,-0.735134024478847
"201","XBB.1.5 vax. (two doses)","xbb.1.5","HK.3",-1.55329164956384,-2.54207684758892,-0.476466442268388
"202","XBB.1.5 vax. (two doses)","xbb.1.5","BA.2.86",-2.22325297821907,-3.5112397721436,-0.876018124171584
"203","XBB.1.5 vax. (two doses)","xbb.1.5","EG.5.1",-2.10179654696904,-3.02963606988111,-1.20387531746404
"204","XBB.1.5 vax. (two doses)","xbb.1.5","JN.1",-2.85388233172106,-4.14188826322136,-1.48381295679537
